Device Info,Time,Longitude,Latitude,IMEI,EnvT_t,EngDa_tiEngOn,GlbDa_lTotDst,FlSys_dvolFlCons,FBR_qArr_[0],FBR_qArr_[1],FBR_qArr_[2],FBR_qArr_[3],FBR_qArr_[4],FBR_qArr_[5],DIUMPR_rValRatMin_[7],AFS_dm,AirCtl_mActVal_mp,EGRVlv_rAct,Air_tCACDs,Air_pIntkVUs,PCR_pActVal_mp,CEngDsT_t,APP_rFlt_mp,Epm_nEng,VehV_v,InjCtl_qSetUnBal,TCD_tqPahSet_f,CoETS_stCurrLimActive,Rail_pSetPoint,RailP_pFlt,MeUn_iActFlt,PRV_st,CoEOM_stOpModeAct,Exh_tOxiCatUs,Exh_tPFltUs,ETCtl_dmFuOpnLop,ETCtl_st,ETCtl_dmFuStFdbk,ETCtl_tObsvrCor,DPM_rSV,HCIMon_dqAct,ETCtl_tAdpnCatDs,ETCtl_tOutrDes,PFltPOp_stEngPOp,ASMod_dmSotEngNrm2_mp,ASMod_dmSotEngNrm_mp,PFltLd_dmSotSimRgnNO2_mp,PFltLd_dmSotSimRgnThr_mp,PFltLd_dmSotSim,PFltLd_mSotSim,PFltLd_mSot,ASMod_dmEGFld_[0],EGRClg_etaCalc_mp,CAClg_etaCalcB2_mp,Exh_pFltPPFltDiff,Exh_iPPDsIDEFild,ChrSet_facDynDetnBoostP_mp,ChrSet_facPrioLamO2Wght_mp,InjCrv_phiMI1Des,Exh_tAdapTOxiCatUs,Exh_tAdapTPFltUs,HCICtl_stInjOn,ETCtl_tBrickLstMdl_mp,PFlt_tOutrDes,CoHCI_st,HCIMon_pAbsHDVDsP,HCIMon_pAbsHDVUsP,DPM_tFltHDVUsT,HCDosVlv_rPs,HCIMon_stPurgOn,HCIMon_stRgnReq,HCIMon_stSysTst,HCIPOD_tiTotOpHrs,HCIPOD_stDFCEvln,UDC_dmRdcAgAct,SCR_tUCatUsT,SCR_tUCatDsT,ASMod_dmNOxEG,Com_rNOxNoCat2Ds,Com_rNOxNoMCatDs,SCRMod_rNO2NOx,SCRMod_etaEst,SCRFBC_facNOxCtl,SCRAd_stStMAdv,UDC_mRdcAgDosQnt,SCRAd_facQtyAdap,CoSCR_st,CoSCR_stSub,SCR_pUPmpP,SCR_rUTnkLvl,SCR_tUTnkT,UDosVlv_rPs,UPmpMot_rPs,URevVlv_stPs,DFES_numDFC_[3],DFES_numDFC_[4],DFES_numDFC_[5],DFES_numDFC_[6]
RBCD025022,2017-02-23 14:24:13.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.25,0.00,-0.34,5.16,1007.00,1007.00,4.06,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,9000.00,1495.00,2.00,1048577.00,60.86,29.66,0.00,32.00,0.00,0.00,0.00,0.00,50.26,29.66,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.27,-1.47,0.00,0.00,0.00,0.00,0.00,60.76,29.66,0.00,80.06,644.96,1.00,1013.00,1149.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,13.86,5.86,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:17.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.50,0.00,-0.49,5.06,1007.00,1007.00,4.06,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,9000.00,1498.00,2.00,1048577.00,59.66,29.56,0.00,32.00,0.00,0.00,0.00,0.00,50.16,29.56,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.20,-1.33,0.00,0.00,0.00,0.00,0.00,59.46,29.56,0.00,79.96,644.96,1.00,1013.00,1149.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,13.46,5.76,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,24.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:21.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.50,0.00,-0.49,5.06,1007.00,1007.00,4.06,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,9000.00,1495.00,2.00,1048577.00,58.86,29.56,0.00,32.00,0.00,0.00,0.00,0.00,50.16,29.56,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.30,-1.24,0.00,0.00,0.00,0.00,0.00,58.76,29.46,0.00,79.96,644.96,1.00,1013.00,1149.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,13.16,5.76,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,25.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:25.0,0.0,0.0,864049025993355,5.26,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.25,0.00,-0.49,4.96,1007.00,1007.00,4.06,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,9000.00,1499.00,2.00,1048577.00,58.46,29.56,0.00,32.00,0.00,0.00,0.00,0.00,50.06,29.56,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.12,-1.14,0.00,0.00,0.00,0.00,0.00,58.06,29.46,0.00,79.86,644.96,1.00,1013.00,1149.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,12.96,5.66,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:29.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,-0.49,4.96,1007.00,1007.00,4.06,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,9000.00,1498.00,2.00,1048577.00,57.36,29.56,0.00,32.00,0.00,0.00,0.00,0.00,49.96,29.46,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.22,-1.08,0.00,0.00,0.00,0.00,0.00,57.06,29.46,0.00,79.76,644.96,1.00,1013.00,1149.00,2.56,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,12.76,5.66,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:33.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.25,0.00,-0.34,5.06,1007.00,1007.00,4.06,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,9000.00,1498.00,2.00,1048577.00,56.76,29.46,0.00,32.00,0.00,0.00,0.00,0.00,49.96,29.56,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.12,-1.03,0.00,0.00,0.00,0.00,0.00,56.66,29.56,0.00,79.66,644.96,1.00,1013.00,1149.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,12.46,5.56,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:37.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.00,0.00,-0.49,4.96,1007.00,1007.00,4.06,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1499.00,2.00,1048577.00,55.76,29.56,0.00,32.00,0.00,0.00,0.00,0.00,49.86,29.56,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.14,-0.92,0.00,0.00,0.00,0.00,0.00,55.56,29.56,0.00,79.56,644.96,1.00,1013.00,1149.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,12.06,5.56,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:41.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.50,0.00,-0.65,4.96,1007.00,1007.00,4.16,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1497.00,2.00,1048577.00,55.16,29.56,0.00,32.00,0.00,0.00,0.00,0.00,49.76,29.46,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.14,-0.87,0.00,0.00,0.00,0.00,0.00,54.96,29.56,0.00,79.56,644.96,1.00,1013.00,1149.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,11.76,5.46,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,24.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:45.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.25,0.00,-0.34,4.96,1007.00,1007.00,4.16,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1489.00,2.00,1048577.00,54.76,29.56,0.00,32.00,0.00,0.00,0.00,0.00,49.66,29.56,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.14,-0.85,0.00,0.00,0.00,0.00,0.00,54.66,29.46,0.00,79.46,644.96,1.00,1013.00,1149.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,11.56,5.46,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:49.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.75,0.00,-0.49,4.96,1007.00,1007.00,4.16,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1500.00,2.00,1048577.00,54.26,29.56,0.00,32.00,0.00,0.00,0.00,0.00,49.56,29.56,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.14,-0.81,0.00,0.00,0.00,0.00,0.00,53.86,29.46,0.00,79.36,644.96,1.00,1013.00,1149.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,11.36,5.46,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:53.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.75,0.00,-0.49,4.96,1007.00,1007.00,4.16,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1489.00,2.00,1048577.00,53.16,29.46,0.00,32.00,0.00,0.00,0.00,0.00,49.46,29.46,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.14,-0.74,0.00,0.00,0.00,0.00,0.00,52.86,29.56,0.00,79.26,644.96,1.00,1013.00,1151.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,11.06,5.46,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:24:57.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75,0.00,-0.49,4.96,1007.00,1007.00,4.16,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1491.00,2.00,1048577.00,52.66,29.46,0.00,32.00,0.00,0.00,0.00,0.00,49.46,29.46,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.14,-0.72,0.00,0.00,0.00,0.00,0.00,52.56,29.56,0.00,79.16,644.96,1.00,1013.00,1152.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,10.86,5.46,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,25.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:25:01.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.00,-0.34,4.96,1007.00,1007.00,4.16,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1494.00,2.00,1048577.00,52.46,29.56,0.00,32.00,0.00,0.00,0.00,0.00,49.36,29.66,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.00,-0.70,0.00,0.00,0.00,0.00,0.00,52.26,29.56,0.00,79.16,644.96,1.00,1013.00,1155.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,10.76,5.46,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,21.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:25:05.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.00,-0.65,4.96,1007.00,1007.00,4.16,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1498.00,2.00,1048577.00,51.46,29.56,0.00,32.00,0.00,0.00,0.00,0.00,49.26,29.46,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.00,-0.68,0.00,0.00,0.00,0.00,0.00,51.36,29.46,0.00,79.06,644.96,1.00,1013.00,1159.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,10.66,5.46,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,20.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:25:09.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.75,0.00,-0.49,4.96,1007.00,1007.00,4.16,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1499.00,2.00,1048577.00,50.76,29.46,0.00,32.00,0.00,0.00,0.00,0.00,49.16,29.46,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.14,-0.65,0.00,0.00,0.00,0.00,0.00,50.66,29.56,0.00,78.96,644.96,1.00,1013.00,1161.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,10.56,5.36,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,22.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025022,2017-02-23 14:25:13.0,0.0,0.0,864049025993355,5.36,845507.00,9663466.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.75,0.00,-0.49,4.96,1007.00,1007.00,4.16,0.00,0.00,0.00,0.00,599.00,24608.00,398800.00,6400.00,1493.00,2.00,1048577.00,50.46,29.46,0.00,32.00,0.00,0.00,0.00,0.00,49.06,29.46,0.00,0.00,0.00,0.00,0.00,0.00,3.76,3.76,0.00,0.14,-0.63,0.00,0.00,0.00,0.00,0.00,50.56,29.46,0.00,78.86,644.96,1.00,1013.00,1161.00,2.66,0.00,0.00,0.00,0.00,45428.50,0.00,0.00,10.56,5.36,0.00,3076.00,3076.00,0.25,0.40,1.00,0.00,66196.00,1.00,2.00,255.00,23.00,34.39,2.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
