Device Info,Time,Longitude,Latitude,IMEI,EnvT_t,EngDa_tiEngOn,GlbDa_lTotDst,FlSys_dvolFlCons,FBR_qArr_[0],FBR_qArr_[1],FBR_qArr_[2],FBR_qArr_[3],FBR_qArr_[4],FBR_qArr_[5],DIUMPR_rValRatMin_[7],AFS_dm,AirCtl_mActVal_mp,EGRVlv_rAct,Air_tCACDs,Air_pIntkVUs,PCR_pActVal_mp,CEngDsT_t,APP_rFlt_mp,Epm_nEng,VehV_v,InjCtl_qSetUnBal,TCD_tqPahSet_f,CoETS_stCurrLimActive,Rail_pSetPoint,RailP_pFlt,MeUn_iActFlt,PRV_st,CoEOM_stOpModeAct,Exh_tOxiCatUs,Exh_tPFltUs,ETCtl_dmFuOpnLop,ETCtl_st,ETCtl_dmFuStFdbk,ETCtl_tObsvrCor,DPM_rSV,HCIMon_dqAct,ETCtl_tAdpnCatDs,ETCtl_tOutrDes,PFltPOp_stEngPOp,ASMod_dmSotEngNrm2_mp,ASMod_dmSotEngNrm_mp,PFltLd_dmSotSimRgnNO2_mp,PFltLd_dmSotSimRgnThr_mp,PFltLd_dmSotSim,PFltLd_mSotSim,PFltLd_mSot,ASMod_dmEGFld_[0],EGRClg_etaCalc_mp,CAClg_etaCalcB2_mp,Exh_pFltPPFltDiff,Exh_iPPDsIDEFild,ChrSet_facDynDetnBoostP_mp,ChrSet_facPrioLamO2Wght_mp,InjCrv_phiMI1Des,Exh_tAdapTOxiCatUs,Exh_tAdapTPFltUs,HCICtl_stInjOn,ETCtl_tBrickLstMdl_mp,PFlt_tOutrDes,CoHCI_st,HCIMon_pAbsHDVDsP,HCIMon_pAbsHDVUsP,DPM_tFltHDVUsT,HCDosVlv_rPs,HCIMon_stPurgOn,HCIMon_stRgnReq,HCIMon_stSysTst,HCIPOD_tiTotOpHrs,HCIPOD_stDFCEvln,UDC_dmRdcAgAct,SCR_tUCatUsT,SCR_tUCatDsT,ASMod_dmNOxEG,Com_rNOxNoCat2Ds,Com_rNOxNoMCatDs,SCRMod_rNO2NOx,SCRMod_etaEst,SCRFBC_facNOxCtl,SCRAd_stStMAdv,UDC_mRdcAgDosQnt,SCRAd_facQtyAdap,CoSCR_st,CoSCR_stSub,SCR_pUPmpP,SCR_rUTnkLvl,SCR_tUTnkT,UDosVlv_rPs,UPmpMot_rPs,URevVlv_stPs,DFES_numDFC_[3],DFES_numDFC_[4],DFES_numDFC_[5],DFES_numDFC_[6]
RBCD025015,2017-02-23 14:29:01.0,0.0,0.0,864049025991557,4.76,719291.00,9348402.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,8.00,281.50,2522.00,-0.20,5.46,1007.00,1014.00,3.86,0.00,619.50,0.00,30.14,340.00,0.00,521000.00,517200.00,1437.00,2.00,1048577.00,55.16,30.06,0.00,32.00,0.00,0.00,0.00,0.00,19.56,30.06,1.00,0.10,0.10,0.00,0.00,0.10,6.85,6.85,283.00,1.00,4.00,2.00,0.00,0.00,0.00,2.55,54.96,30.26,0.00,51.06,643.56,1.00,1013.00,1149.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,12.76,4.06,19.30,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,31.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:05.0,0.0,0.0,864049025991557,4.76,719295.00,9348402.00,4.09,0.00,0.00,0.00,0.00,0.00,0.00,8.00,281.75,2520.00,0.11,5.46,1004.00,1012.00,4.26,0.00,620.00,0.00,30.40,344.30,0.00,517200.00,514800.00,1437.00,2.00,1048577.00,54.86,30.66,0.00,32.00,0.00,0.00,0.00,0.00,20.46,30.66,1.00,0.10,0.10,0.00,0.00,0.10,6.85,6.85,283.75,1.00,-4.00,2.00,0.00,0.00,0.00,2.55,54.86,30.86,0.00,52.96,643.56,1.00,1013.00,1149.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,14.96,4.16,19.20,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,32.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:09.0,0.0,0.0,864049025991557,4.76,719299.00,9348402.00,4.13,0.00,0.00,0.00,0.00,0.00,0.00,8.00,280.50,2517.00,-0.04,5.46,1004.00,1013.00,4.36,0.00,616.00,0.00,30.88,345.10,0.00,518000.00,522000.00,1437.00,2.00,1048577.00,54.76,31.26,0.00,32.00,0.00,0.00,0.00,0.00,21.66,31.26,1.00,0.10,0.10,0.00,0.00,0.10,6.85,6.85,283.50,1.00,-1.92,2.00,0.00,0.00,0.00,2.57,54.76,31.26,0.00,54.76,643.56,1.00,1013.00,1158.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,16.66,4.26,19.40,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,30.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:13.0,0.0,0.0,864049025991557,4.76,719303.00,9348402.00,1.62,0.00,0.00,0.00,0.00,0.00,0.00,8.00,369.50,2509.00,-0.04,5.46,1046.00,1059.00,4.56,16.03,1043.50,0.00,5.92,93.40,0.00,712800.00,781200.00,1526.00,2.00,1048577.00,55.06,31.56,0.00,32.00,0.00,0.00,0.00,0.00,21.06,31.56,1.00,0.16,0.16,0.00,0.00,0.17,6.85,6.85,365.75,1.00,-1.23,2.00,0.00,0.29,0.00,1.38,56.06,31.96,0.00,57.76,643.76,1.00,1013.00,1162.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,18.26,4.26,61.30,3076.00,3076.00,0.35,0.28,1.00,0.00,67740.00,1.00,2.00,255.00,30.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:17.0,0.0,0.0,864049025991557,4.76,719307.00,9348402.00,3.77,0.00,0.00,0.00,0.00,0.00,0.00,8.00,317.25,2715.00,0.11,5.36,1062.00,1069.00,4.86,0.00,636.50,0.00,27.64,320.40,0.00,521400.00,507400.00,1477.00,2.00,1048577.00,60.26,34.06,0.00,32.00,0.00,0.00,0.00,0.00,23.46,34.16,1.00,0.10,0.10,0.00,0.00,0.10,6.85,6.85,291.25,1.00,-1.41,2.00,0.00,0.00,0.00,2.55,60.46,34.66,0.00,61.86,643.56,1.00,1013.00,1168.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,19.76,4.36,19.90,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,30.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:21.0,0.0,0.0,864049025991557,4.76,719311.00,9348402.00,3.90,0.00,0.00,0.00,0.00,0.00,0.00,8.00,279.50,2530.50,-0.04,5.36,1008.00,1016.00,5.16,0.00,613.50,0.00,29.68,338.10,0.00,511600.00,512400.00,1438.00,2.00,1048577.00,59.76,35.86,0.00,32.00,0.00,0.00,0.00,0.00,26.16,36.16,1.00,0.10,0.10,0.00,0.00,0.10,6.85,6.85,283.00,1.01,-1.47,2.00,0.00,0.00,0.00,2.57,59.56,36.56,0.00,62.76,643.66,1.00,1013.00,1175.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,20.56,4.56,19.00,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,31.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:25.0,0.0,0.0,864049025991557,4.76,719315.00,9348402.00,3.99,0.00,0.00,0.00,0.00,0.00,0.00,8.00,277.75,2521.00,-0.04,5.36,1005.00,1012.00,5.36,0.00,612.50,0.00,29.84,338.00,0.00,513800.00,514800.00,1438.00,2.00,1048577.00,58.96,37.46,0.00,32.00,0.00,0.00,0.00,0.00,28.66,37.66,1.00,0.10,0.10,0.00,0.00,0.10,6.85,6.85,280.75,1.01,-1.18,2.00,0.00,0.00,0.00,2.57,58.86,38.36,0.00,63.46,643.66,1.00,1013.00,1176.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,21.16,4.66,18.40,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,33.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:29.0,0.0,0.0,864049025991557,4.76,719319.00,9348402.00,3.93,0.00,0.00,0.00,0.00,0.00,0.00,8.00,277.75,2522.50,-0.04,5.36,1005.00,1012.00,5.76,0.00,611.50,0.00,29.26,330.40,0.00,510200.00,514800.00,1438.00,2.00,1048577.00,58.86,39.16,0.00,32.00,0.00,0.00,0.00,0.00,30.66,39.26,1.00,0.10,0.10,0.00,0.00,0.10,6.85,6.85,281.25,1.01,-0.90,2.00,0.00,0.00,0.00,2.59,58.86,39.76,0.00,64.06,643.66,1.00,1013.00,1187.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,21.66,4.66,18.30,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,32.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:33.0,0.0,0.0,864049025991557,4.76,719323.00,9348402.00,3.94,0.00,0.00,0.00,0.00,0.00,0.00,8.00,277.25,2522.50,-0.04,5.36,1005.00,1012.00,5.86,0.00,609.00,0.00,30.12,333.50,0.00,509200.00,507400.00,1438.00,2.00,1048577.00,58.76,41.06,0.00,32.00,0.00,0.00,0.00,0.00,32.56,41.36,1.00,0.10,0.10,0.00,0.00,0.10,6.86,6.86,279.75,1.01,-0.70,1.00,0.00,0.00,0.00,2.59,58.76,41.86,0.00,64.66,643.66,1.00,1013.00,1188.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,22.16,4.76,18.00,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,33.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:37.0,0.0,0.0,864049025991557,4.76,719327.00,9348402.00,3.94,0.00,0.00,0.00,0.00,0.00,0.00,8.00,276.50,2520.00,0.11,5.46,1004.00,1012.00,6.06,0.00,608.50,0.00,29.42,329.60,0.00,508400.00,512400.00,1438.00,2.00,1048577.00,58.76,42.76,0.00,32.00,0.00,0.00,0.00,0.00,33.76,42.86,1.00,0.10,0.10,0.00,0.00,0.10,6.86,6.86,278.25,1.02,-0.58,1.00,0.00,0.00,0.00,2.61,58.76,42.96,0.00,65.06,643.66,1.00,1013.00,1196.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,22.66,4.76,18.00,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,33.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:41.0,0.0,0.0,864049025991557,4.76,719331.00,9348402.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00,8.00,275.75,2515.00,-0.04,5.46,1003.00,1011.00,6.46,0.00,609.50,0.00,28.92,330.20,0.00,504400.00,505000.00,1439.00,2.00,1048577.00,58.76,44.46,0.00,32.00,0.00,0.00,0.00,0.00,34.86,44.56,1.00,0.10,0.10,0.00,0.00,0.10,6.86,6.86,278.00,1.02,-0.51,1.00,0.00,0.00,0.00,2.61,58.66,44.66,0.00,65.46,643.66,1.00,1013.00,1201.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,23.06,4.76,17.80,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,34.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:45.0,0.0,0.0,864049025991557,4.76,719335.00,9348402.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,8.00,277.25,2539.00,-0.04,5.56,1004.00,1012.00,6.66,0.00,608.50,0.00,29.16,330.30,0.00,504200.00,497600.00,1439.00,2.00,1048577.00,58.86,45.36,0.00,32.00,0.00,0.00,0.00,0.00,35.66,45.56,1.00,0.10,0.10,0.00,0.00,0.10,6.86,6.86,277.25,1.02,-0.47,2.00,0.00,0.00,0.00,2.59,58.76,45.86,0.00,65.86,643.76,1.00,1013.00,1203.00,3.16,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,23.36,4.86,17.70,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,34.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:49.0,0.0,0.0,864049025991557,4.76,719339.00,9348402.00,3.91,0.00,0.00,0.00,0.00,0.00,0.00,8.00,274.75,2512.00,-0.04,5.56,1004.00,1011.00,6.76,0.00,605.50,0.00,29.44,330.50,0.00,504600.00,500000.00,1439.00,2.00,1048577.00,58.76,46.66,0.00,32.00,0.00,0.00,0.00,0.00,36.66,46.66,1.00,0.10,0.10,0.00,0.00,0.10,6.86,6.86,275.25,1.02,-0.41,1.00,0.00,0.00,0.00,2.61,58.86,46.76,0.00,66.26,643.76,1.00,1013.00,1214.00,3.16,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,23.66,4.86,17.60,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,35.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:53.0,0.0,0.0,864049025991557,4.76,719343.00,9348402.00,3.88,0.00,0.00,0.00,0.00,0.00,0.00,8.00,275.25,2523.00,-0.20,5.66,1005.00,1012.00,6.96,0.00,605.50,0.00,29.66,334.00,0.00,502400.00,502600.00,1439.00,2.00,1048577.00,58.76,47.86,0.00,32.00,0.00,0.00,0.00,0.00,37.26,47.86,1.00,0.10,0.10,0.00,0.00,0.10,6.86,6.86,276.50,1.02,-0.39,1.00,0.00,0.00,0.00,2.61,58.66,48.26,0.00,66.56,643.76,1.00,1013.00,1215.00,3.16,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,23.76,4.96,17.50,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,34.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:29:57.0,0.0,0.0,864049025991557,4.76,719347.00,9348402.00,3.81,0.00,0.00,0.00,0.00,0.00,0.00,8.00,273.50,2515.00,-0.04,5.66,1005.00,1011.00,7.16,0.00,602.50,0.00,29.68,331.90,0.00,501400.00,490400.00,1439.00,2.00,1048577.00,58.86,48.56,0.00,32.00,0.00,0.00,0.00,0.00,37.76,48.66,1.00,0.10,0.10,0.00,0.00,0.10,6.86,6.86,275.25,1.02,-0.36,1.00,0.00,0.00,0.00,2.64,58.76,48.56,0.00,66.76,643.76,1.00,1013.00,1226.00,3.16,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,23.86,5.06,17.40,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,32.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:30:01.0,0.0,0.0,864049025991557,4.76,719351.00,9348402.00,3.83,0.00,0.00,0.00,0.00,0.00,0.00,8.00,274.25,2522.00,0.11,5.66,1004.00,1011.00,7.36,0.00,604.00,0.00,29.24,329.70,0.00,500200.00,495200.00,1439.00,2.00,1048577.00,58.86,49.16,0.00,32.00,0.00,0.00,0.00,0.00,38.26,49.16,1.00,0.10,0.10,0.00,0.00,0.10,6.86,6.86,277.50,1.03,-0.35,1.00,0.00,0.00,0.00,2.64,58.76,49.36,0.00,66.96,643.86,1.00,1013.00,1226.00,3.16,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,23.96,5.36,17.30,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,35.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
